label0_proba,label1_proba
0.668,0.332
0.704,0.296
0.82,0.18
0.088,0.912
0.104,0.896
0.264,0.736
0.464,0.536
0.156,0.844
0.312,0.688
0.272,0.728
0.892,0.108
0.128,0.872
0.16,0.84
0.316,0.684
0.32,0.68
0.208,0.792
0.148,0.852
0.436,0.564
0.18,0.82
0.32,0.68
0.124,0.876
0.512,0.488
0.088,0.912
0.356,0.644
0.444,0.556
0.212,0.788
0.528,0.472
0.448,0.552
0.704,0.296
0.632,0.368
0.108,0.892
0.4,0.6
0.1,0.9
0.128,0.872
0.48,0.52
0.192,0.808
0.492,0.508
0.096,0.904
0.3,0.7
0.096,0.904
0.744,0.256
0.684,0.316
0.384,0.616
0.312,0.688
0.392,0.608
0.3,0.7
0.484,0.516
0.14,0.86
0.06,0.94
0.748,0.252
0.532,0.468
0.296,0.704
0.444,0.556
0.088,0.912
0.092,0.908
0.748,0.252
0.132,0.868
0.264,0.736
0.052,0.948
0.644,0.356
0.104,0.896
0.528,0.472
0.2,0.8
0.276,0.724
0.652,0.348
0.232,0.768
0.324,0.676
0.156,0.844
0.528,0.472
0.148,0.852
0.212,0.788
0.032,0.968
0.596,0.404
0.024,0.976
0.268,0.732
0.22,0.78
0.84,0.16
0.276,0.724
0.416,0.584
0.436,0.564
0.772,0.228
0.192,0.808
0.492,0.508
0.488,0.512
0.252,0.748
0.408,0.592
0.668,0.332
0.056,0.944
0.316,0.684
0.288,0.712
0.264,0.736
0.112,0.888
0.668,0.332
0.248,0.752
0.108,0.892
0.756,0.244
0.544,0.456
