label0_proba,label1_proba
0.392,0.608
0.596,0.404
0.676,0.324
0.124,0.876
0.14,0.86
0.1,0.9
0.3,0.7
0.296,0.704
0.164,0.836
0.252,0.748
0.772,0.228
0.404,0.596
0.184,0.816
0.512,0.488
0.256,0.744
0.176,0.824
0.184,0.816
0.304,0.696
0.096,0.904
0.104,0.896
0.196,0.804
0.404,0.596
0.056,0.944
0.756,0.244
0.128,0.872
0.264,0.736
0.164,0.836
0.588,0.412
0.664,0.336
0.364,0.636
0.276,0.724
0.44,0.56
0.256,0.744
0.052,0.948
0.304,0.696
0.416,0.584
0.652,0.348
0.084,0.916
0.344,0.656
0.056,0.944
0.636,0.364
0.62,0.38
0.368,0.632
0.124,0.876
0.656,0.344
0.416,0.584
0.7,0.3
0.192,0.808
0.044,0.956
0.568,0.432
0.508,0.492
0.188,0.812
0.628,0.372
0.076,0.924
0.224,0.776
0.776,0.224
0.472,0.528
0.304,0.696
0.02,0.98
0.668,0.332
0.024,0.976
0.624,0.376
0.012,0.988
0.532,0.468
0.68,0.32
0.296,0.704
0.128,0.872
0.032,0.968
0.756,0.244
0.144,0.856
0.244,0.756
0.284,0.716
0.46,0.54
0.016,0.984
0.18,0.82
0.488,0.512
0.7,0.3
0.62,0.38
0.36,0.64
0.2,0.8
0.5,0.5
0.436,0.564
0.616,0.384
0.468,0.532
0.428,0.572
0.428,0.572
0.748,0.252
0.04,0.96
0.368,0.632
0.392,0.608
0.292,0.708
0.032,0.968
0.7,0.3
0.036,0.964
0.124,0.876
0.536,0.464
0.608,0.392
