label0_proba,label1_proba
0.54,0.46
0.528,0.472
0.64,0.36
0.216,0.784
0.072,0.928
0.212,0.788
0.44,0.56
0.464,0.536
0.284,0.716
0.26,0.74
0.848,0.152
0.284,0.716
0.112,0.888
0.176,0.824
0.164,0.836
0.188,0.812
0.256,0.744
0.376,0.624
0.136,0.864
0.272,0.728
0.04,0.96
0.416,0.584
0.168,0.832
0.812,0.188
0.404,0.596
0.128,0.872
0.284,0.716
0.348,0.652
0.672,0.328
0.456,0.544
0.108,0.892
0.268,0.732
0.044,0.956
0.088,0.912
0.42,0.58
0.54,0.46
0.744,0.256
0.304,0.696
0.184,0.816
0.212,0.788
0.792,0.208
0.428,0.572
0.324,0.676
0.576,0.424
0.564,0.436
0.232,0.768
0.712,0.288
0.244,0.756
0.252,0.748
0.824,0.176
0.7,0.3
0.264,0.736
0.468,0.532
0.176,0.824
0.252,0.748
0.496,0.504
0.232,0.768
0.4,0.6
0.124,0.876
0.708,0.292
0.076,0.924
0.656,0.344
0.084,0.916
0.292,0.708
0.584,0.416
0.172,0.828
0.212,0.788
0.084,0.916
0.792,0.208
0.216,0.784
0.416,0.584
0.044,0.956
0.312,0.688
0.04,0.96
0.252,0.748
0.144,0.856
0.728,0.272
0.34,0.66
0.42,0.58
0.344,0.656
0.608,0.392
0.268,0.732
0.652,0.348
0.216,0.784
0.312,0.688
0.324,0.676
0.688,0.312
0.112,0.888
0.236,0.764
0.212,0.788
0.344,0.656
0.112,0.888
0.604,0.396
0.188,0.812
0.132,0.868
0.636,0.364
0.588,0.412
