label0_proba,label1_proba
0.244,0.756
0.58,0.42
0.028,0.972
0.596,0.404
0.344,0.656
0.268,0.732
0.068,0.932
0.764,0.236
0.288,0.712
0.108,0.892
0.144,0.856
0.172,0.828
0.208,0.792
0.736,0.264
0.272,0.728
0.064,0.936
0.072,0.928
0.424,0.576
0.328,0.672
0.332,0.668
0.032,0.968
0.136,0.864
0.1,0.9
0.484,0.516
0.364,0.636
0.32,0.68
0.7,0.3
0.396,0.604
0.372,0.628
0.42,0.58
0.456,0.544
0.196,0.804
0.184,0.816
0.416,0.584
0.268,0.732
0.044,0.956
0.652,0.348
0.464,0.536
0.032,0.968
0.368,0.632
0.56,0.44
0.28,0.72
0.572,0.428
0.732,0.268
0.076,0.924
0.564,0.436
0.516,0.484
0.072,0.928
0.684,0.316
0.308,0.692
0.648,0.352
0.66,0.34
0.156,0.844
0.164,0.836
0.124,0.876
0.6,0.4
0.264,0.736
0.34,0.66
0.852,0.148
0.256,0.744
0.256,0.744
0.124,0.876
0.584,0.416
0.212,0.788
0.464,0.536
0.42,0.58
0.352,0.648
0.02,0.98
0.568,0.432
0.46,0.54
0.656,0.344
0.752,0.248
0.248,0.752
0.208,0.792
0.288,0.712
0.08,0.92
0.612,0.388
0.652,0.348
0.96,0.04
0.652,0.348
0.884,0.116
0.544,0.456
0.732,0.268
0.092,0.908
0.2,0.8
0.64,0.36
0.44,0.56
0.096,0.904
0.448,0.552
0.416,0.584
0.812,0.188
0.112,0.888
0.68,0.32
0.248,0.752
0.092,0.908
0.772,0.228
0.368,0.632
